1231	776364	-226,451874880255	-447,907712176246	-449,999999753655	-449,225093082478
-450	751384	-232,277802861522	-448,09509355765	-449,999999752887	-449,093337962499
33406	694936	-249,558231060788	-448,291502404065	-449,999999754888	-449,167083519833
-450	694571	-244,112340213848	-448,050337644539	-449,999999751585	-449,206498120751
27864	844817	-261,475324094762	-447,825484077831	-449,99999975	-449,20795834383
-450	836263	-251,043238411377	-448,279030378537	-449,999999750006	-449,171671807064
9038	869773	-174,745053003025	-448,10848506301	-449,999999758576	-449,17358556812
-450	655518	-201,81119678897	-448,275287978164	-449,999999759508	-449,099551737195
-450	712680	-134,329259444649	-447,832190908372	-449,999999750712	-449,229088598077
141583	727758	-171,152675703999	-447,922143385272	-449,999999756581	-449,074855484786

